id                                  , seller_id                           , name                                     , description                                                                                   , price, stock, created_at
a1b2c3d4-e5f6-4788-9900-a1b2c3d4e5f6, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Wireless Noise-Cancelling Headphones     , Experience immersive sound with our top-rated noise-cancelling headphones.                    , 15999,    85, 2025-08-01 10:00:00+00
a3b4c5d6-e748-4900-1122-a3b4c5d6e748, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Electric Gooseneck Kettle                , Precision pouring and variable temperature control for the perfect cup of tea or coffee.      ,  3999,    80, 2025-08-06 09:00:00+00
a7b8c9d0-e1f2-4344-5566-a7b8c9d0e1f2, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Gourmet Whole Bean Coffee                , A rich and aromatic medium roast coffee blend from Central America (1kg).                     ,  1299,   180, 2025-08-04 08:30:00+00
a9b0c1d2-e3f4-4566-7788-a9b0c1d2e3f4, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Smart WiFi Power Strip                   , Control 4 outlets individually through your phone or voice commands.                          ,  1999,    88, 2025-08-06 17:20:00+00
b0c1d2e3-f4a5-4677-8899-b0c1d2e3f4a5, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Hardcover Lined Journal                  , "A classic journal with 240 acid-free pages and a durable, elegant cover."                    ,  1299,   160, 2025-08-06 18:05:00+00
b2c3d4e5-f6a7-4899-0011-b2c3d4e5f6a7, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Organic Cotton T-Shirt                   , "A soft, breathable t-shirt made from 100% organic cotton."                                   ,  1599,   150, 2025-08-01 11:20:30+00
b4c5d6e7-f8a9-4011-2233-b4c5d6e7f8a9, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Mechanical Keyboard with RGB             , "A tactile and responsive keyboard for gamers and typists, with customizable lighting."       ,  8999,    55, 2025-08-06 11:45:00+00
b8c9d0e1-f2a3-4455-6677-b8c9d0e1f2a3, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Ergonomic Office Chair                   , Improve your posture and comfort with this fully adjustable mesh office chair.                , 18999,    40, 2025-08-04 11:00:00+00
c3d4e5f6-a7b8-4900-1122-c3d4e5f6a7b8, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Smart Fitness Tracker                    , "Monitor your daily activity, heart rate, and sleep patterns with this sleek fitness tracker.",  4999,   120, 2025-08-02 09:05:00+00
c5d6e7f8-a9b0-4122-3344-c5d6e7f8a9b0, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Yoga Mat with Carrying Strap             , "A non-slip, eco-friendly TPE yoga mat providing excellent cushioning."                       ,  2199,   140, 2025-08-06 12:30:00+00
c9d0e1f2-a3b4-4566-7788-c9d0e1f2a3b4, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Professional Chef's Knife                , A high-carbon stainless steel 8-inch chef's knife for precision cutting.                      ,  6999,    65, 2025-08-04 13:25:00+00
d0e1f2a3-b4c5-4677-8899-d0e1f2a3b4c5, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Leather Weekend Bag                      , A stylish and durable full-grain leather bag perfect for short trips.                         , 14999,    30, 2025-08-05 10:15:00+00
d4e5f6a7-b8c9-4011-2233-d4e5f6a7b8c9, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Stainless Steel Water Bottle             , "Stay hydrated with this double-walled, insulated 32oz water bottle."                         ,  1899,   200, 2025-08-02 14:00:00+00
d6e7f8a9-b0c1-4233-4455-d6e7f8a9b0c1, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Cast Iron Skillet (12-Inch)              , A pre-seasoned skillet for superior heat retention and even cooking.                          ,  2499,   100, 2025-08-06 14:00:00+00
e1f2a3b4-c5d6-4788-9900-e1f2a3b4c5d6, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Solar-Powered Garden Lights (8-Pack)     , Eco-friendly and bright LED lights to illuminate your garden path.                            ,  2999,   110, 2025-08-05 15:00:00+00
e5f6a7b8-c9d0-4122-3344-e5f6a7b8c9d0, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, 4K Ultra HD Streaming Stick              , Stream your favorite shows and movies in stunning 4K resolution.                              ,  3499,    95, 2025-08-03 16:45:10+00
e7f8a9b0-c1d2-4344-5566-e7f8a9b0c1d2, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Digital Air Fryer                        , Enjoy your favorite fried foods with less oil using this 5.8-quart air fryer.                 ,  6499,    75, 2025-08-06 15:10:00+00
f2a3b4c5-d6e7-4899-0011-f2a3b4c5d6e7, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Silk Pillowcase                          , Experience smoother hair and skin with this 100% pure mulberry silk pillowcase.               ,  4999,    90, 2025-08-05 17:30:00+00
f6a7b8c9-d0e1-4233-4455-f6a7b8c9d0e1, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Portable Bluetooth Speaker               , "Compact yet powerful speaker for music on the go, with 12-hour battery life."                ,  3599,    70, 2025-08-03 18:00:00+00
f8a9b0c1-d2e3-4455-6677-f8a9b0c1d2e3, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Set of 3 Resistance Bands                , "Ideal for physical therapy, strength training, and home workouts."                           ,   999,   190, 2025-08-06 16:00:00+00
51a2b3c4-d5e6-4890-abcd-123456789abc, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Electric Rice Cooker 1.8L                , Automatic rice cooker with keep-warm function and measuring cup included.                     ,  2199,    85, 2025-08-07 10:30:00+00
62b3c4d5-e6f7-4901-bcde-234567890bcd, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, LED Desk Lamp with USB Charging          , Adjustable brightness desk lamp with built-in USB charging port for devices.                  ,  1799,    95, 2025-08-07 11:00:00+00
73c4d5e6-f748-4012-cdef-345678901cde, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Pressure Cooker 5L Stainless Steel       , Heavy-duty pressure cooker for faster cooking with safety lock mechanism.                     ,  3299,    70, 2025-08-07 12:15:00+00
84d5e6f7-a849-4123-def0-456789012def, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Ceramic Non-Stick Tawa 28cm              , Premium ceramic-coated non-stick tawa perfect for rotis and parathas.                         ,  1199,   120, 2025-08-07 13:45:00+00
95e6f7a8-b940-4234-ef01-567890123ef0, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Cotton Bed Sheet Set King Size           , 100% cotton bed sheet set with 2 pillow covers in vibrant colors.                             ,  2499,    80, 2025-08-07 14:20:00+00
a6f7a8b9-c041-4345-f012-678901234f01, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Masala Box Stainless Steel 7 Compartments, Traditional spice container with airtight compartments and spoon.                             ,   899,   150, 2025-08-07 15:30:00+00
b7a8b9c0-d142-4456-0123-789012345012, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Copper Water Bottle 1L                   , Pure copper water bottle with health benefits and leak-proof cap.                             ,  1599,   110, 2025-08-07 16:00:00+00
c8b9c0d1-e243-4567-1234-890123456123, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Electric Mosquito Killer Lamp            , Chemical-free UV mosquito trap with collection tray for easy cleaning.                        ,  1299,    90, 2025-08-07 17:10:00+00
d9c0d1e2-f344-4678-2345-901234567234, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Wooden Laptop Stand Adjustable           , Ergonomic bamboo laptop stand with adjustable height and ventilation.                         ,  1999,    75, 2025-08-07 18:00:00+00
e0d1e2f3-a445-4789-3456-012345678345, 98575d2f-80e7-4e16-bad4-2e9f0d66cdfa, Ayurvedic Hair Oil 200ml                 , Natural hair oil blend with coconut oil and herbs for healthy hair growth.                    ,   599,   200, 2025-08-07 19:15:00+00
